recipe,ingredients
Cheese on toast,"[brown bread,peanut butter,cheddar cheese]"
Horseshoe sandwich,"[brown bread,ham,hamburger]"
Cheese and pickle sandwich,"[brown bread,cheddar cheese,branston]"
Canapé,"[brown bread,peanut butter,puff pastry,cracker,toast,paste,spread]"
Panini (sandwich),"[brown bread,ham,cheddar cheese,mortadella,salami]"
Pièce montée,"[nougat,marzipan,spun sugar]"
Mozartkugel,"[nougat,pistachios,white chocolate]"
Spanische Windtorte,"[black currant,meringue,whipped cream,berry,white chocolate]"
Lemon meringue pie,"[meringue,shortcrust pastry,lemon curd,shortbread]"
Kyiv cake,"[meringue,cashew nut,white chocolate]"
Bakewell tart,"[shortcrust pastry,jam,frangipane]"
Puits d'amour,"[jam,peanut butter,puff pastry,sugar]"
Cream tea,"[jam,clotted cream,scones,tea]"
Zhajiangmian,"[ground meat,cumian,fermented bean paste]"
Bánh bột lọc,"[tapioca,pork jelly,dried shrimp]"
Tuna fish sandwich,"[celery,mayonnaise,tuna salad]"
Celery Victor,"[celery,stock,romaine lettuce,bell peppers]"
Bal Mithai,"[khoya,cane sugar,sugar]"
Bubur kacang hijau,"[cane sugar,coconut milk,mung bean,palm sugar]"
Shumai,"[lye,dried shrimp,chinese black mushroom,ground pork]"
Brigadeiro,"[peanut butter,sweetened condensed milk,white chocolate]"
Palmier,"[peanut butter,puff pastry,sugar]"
Crêpe Suzette,"[peanut butter,zest (ingredient),tangerine,crêpe,orange (fruit),grand marnier,sugar]"
Lolly cake,"[peanut butter,malt biscuit,sweetened condensed milk]"
Karah Parshad,"[peanut butter,whole wheat flour,sugar]"
Cucumber sandwich,"[peanut butter,white bread,sea cucumber]"
Punsch-roll,"[peanut butter,cookie,marzipan,punsch,cocoa bean,white chocolate]"
Bridie,"[peanut butter,suet,mincing]"
Lidah,"[peanut butter,cooking oil,powdered milk,whole wheat flour,sugar]"
Chokladboll,"[peanut butter,coffee,cocoa solids,goat meat,sugar]"
Mississippi mud pie,"[peanut butter,white chocolate,sugar]"
Scotcheroos,"[peanut butter,white chocolate,rice crispies]"
Ube halaya,"[peanut butter,coconut milk,sweetened condensed milk]"
Wet walnuts,"[syrup,walnuts,maple syrup]"
Po'e,"[saba banana,coconut milk,manioc,papaya,mango]"
Banana boat (food),"[saba banana,white chocolate,marshmallow creme]"
Liptauer,"[sheep milk,goat cheese,cottage cheese,quark (cheese)]"
Liquorice allsorts,"[liquorice,coconut milk,gelatine,anise seed,sugar]"
St. Honoré cake,"[whipped cream,puff pastry,chiboust cream,cream puffs,choux pastry]"
Serradura,"[whipped cream,marie biscuit,vanilla extract,sweetened condensed milk]"
Multekrem,"[whipped cream,cloudberry,sugar]"
Cream horn,"[whipped cream,puff pastry,flaky pastry]"
Moorkop,"[whipped cream,profiteroles,white chocolate]"
Black Forest gateau,"[whipped cream,sour cherry,kirschwasser,white chocolate]"
Runeberg torte,"[rum,raspberry,arrack,almond meal,sugar]"
Rum cake,"[rum,dried fruits,sugar]"
Lye roll,"[solution,baking soda,bread roll]"
White Christmas (food),"[icing sugar,powdered milk,raisins,coconut milk,rice crispies,glacé cherries]"
Banoffee pie,"[toffee,bananas,heavy cream]"
Mandoca,"[papelón,cheddar cheese,corn meal,sugar]"
Maple syrup,"[xylem,red maple,black maple]"
Ptasie mleczko,"[powdered milk,white chocolate,sugar]"
Bionico,"[raisins,granola,sour cream,sweetened condensed milk]"
Chhena poda,"[raisins,cashew nut,chhena,sugar]"
Chocolate-covered raisin,"[raisins,white chocolate]"
Pulla,"[raisins,almond meal,cardamom]"
Vatrushka,"[raisins,cottage cheese,quark (cheese)]"
Chocolate-covered potato chips,"[cocoa solids,potato chip,white chocolate]"
Couverture chocolate,"[cocoa solids,cocoa butter,sugar]"
Muffuletta,"[ham,mortadella,provolone,olive salad,salami,mozzarella]"
Montreal-style smoked meat,"[smoked meat,rye bread,mustard (condiment)]"
Tacacá,"[capsicum annuum,dried shrimp,tucupi,paracress]"
Tarhana,"[cereal germ,yoghurt,fermented milk]"
Sweetheart cake,"[almond paste,winter melon,five spice]"
Kulolo,"[coconut milk,taro]"
Kakara pitha,"[coconut milk,whole wheat flour,chhena,cardamom,sugar]"
Klepon,"[coconut milk,palm sugar,rice cake]"
Peeps,"[gelatine,corn syrup,sugar]"
Panna cotta,"[gelatine,heavy cream,sugar]"
Black sesame soup,"[sesame oil,tangyuan,sugar]"
Beef kway teow,"[sesame oil,oyster sauce,gula melaka]"
Beer soup,"[beer,cheddar cheese,roux]"
Sloppy joe (New Jersey),"[rye bread,cole slaw,russian dressing,swiss cheese]"
Sailor sandwich,"[rye bread,pastrami,mustard (condiment),knackwurst,swiss cheese]"
Pastrami on rye,"[rye bread,pastrami,mustard (condiment)]"
Zapiekanka,"[cheddar cheese,agaricus bisporus,baguette]"
Pimento cheese,"[cheddar cheese,processed cheese,mayonnaise,pimentos]"
Mother-in-law (sandwich),"[tamale,chili con carne,hot dog bun]"
Nachos,"[processed cheese,tortilla chip,grated cheese,salsa (sauce)]"
Calisson,"[candied fruit,fondant icing,almond meal]"
Besan barfi,"[gram flour,sweetened condensed milk,sugar]"
Coussin de Lyon,"[marzipan,curaçao (liqueur),white chocolate]"
Bún mắm,"[shrimp paste,dried shrimp,rice vermicelli,fish paste]"
Bikaneri bhujia,"[moth bean,besan,groundnut oil]"
Neapolitan ice cream,"[chocolate ice cream,strawberry ice cream,vanilla ice cream]"
Pancit estacion,"[mung bean,atsuete,tinapa]"
Lung fung soup,"[mushrooms,chili peppers,seafood]"
Curry goat,"[goat meat,curry powder,scotch bonnet (pepper)]"
Suprême sauce,"[heavy cream,crème fraîche,velouté sauce]"
Rødgrød,"[potato starch,cherry,sugar]"
Pig's organ soup,"[blood as food,tongue,chinese lettuce,offal]"
Paruppusilli,"[toor dal,chili peppers,french beans,cluster beans]"
Pie and peas,"[mushy peas,mint sauce,hot water crust pastry,meat pie]"
Tteokbokki,"[gochujang,tteok,odeng]"
Sorshe Ilish,"[mustard (condiment),hilsa,turmeric powder]"
Redcurrant sauce,"[mustard (condiment),redcurrants,sugar]"
Faloodeh,"[rice vermicelli,rose water,sugar]"
Ras malai,"[malai,chhena,sugar]"
Suikerboon,"[almond meal,white chocolate,sugar]"
Chips and dip,"[cracker,dip,crudites]"
Chhena jalebi,"[cottage cheese,chenna,sugar]"
Peppermint bark,"[peppermint,white chocolate]"
Candy corn,"[corn syrup,carnauba wax,sugar]"
Strawberry pie,"[pie crust,garden strawberry,sugar]"
Chatang,"[proso millet,sorghum,broomcorn millet]"
S'more,"[graham cracker crust,white chocolate,marshmallow creme]"
Chocolate,"[chocolate liquor,cocoa butter,sugar]"
